HWFET,
Time,Speed
s,kmph
538,76.604584
539,76.604584
540,76.604584
541,76.604584
542,76.604584
543,76.604584
544,76.604584
545,76.604584
546,76.604584
547,76.4677901
548,76.4677901
549,76.4677901
550,76.3309962
551,76.0574084
552,75.7838206
553,75.5102328
554,75.3734389
555,75.236645
556,75.0998511
557,74.6894694
558,74.4158816
559,74.1422938
560,74.0054999
561,73.5951182
562,73.0479426
563,72.9111487
564,72.6375609
565,72.3639731
566,71.9535914
567,71.6800036
568,71.4064158
569,71.2696219
570,71.132828
571,71.132828
572,71.132828
573,71.132828
574,71.2696219
575,71.132828
576,71.132828
577,70.9960341
578,70.5856524
579,70.3120646
580,69.9016829
581,69.3545073
582,68.8073317
583,68.1233622
584,67.4393927
585,66.6186293
586,65.9346598
587,65.7978659
588,65.661072
589,65.661072
590,65.7978659
591,66.2082476
592,66.8922171
593,67.029011
594,67.1658049
595,67.1658049
596,67.029011
597,67.029011
598,66.8922171
599,66.4818354
600,66.0714537
601,65.661072
602,65.5242781
603,65.3874842
604,65.2506903
605,65.5242781
606,66.0714537
607,67.029011
608,67.1658049
609,67.029011
610,66.8922171
611,65.661072
612,64.4299269
613,63.1987818
614,63.0619879
615,63.0619879
616,63.1987818
617,64.1563391
618,65.3874842
619,67.029011
620,67.9865683
621,69.2177134
622,70.4488585
623,71.4064158
624,72.0903853
625,72.500767
626,73.3215304
627,73.868706
628,74.0054999
629,74.4158816
630,74.8262633
631,75.3734389
632,75.7838206
633,75.7838206
634,75.236645
635,74.5526755
636,73.3215304
637,71.8167975
638,68.6705378
639,65.9346598
640,63.6091635
641,63.1987818
642,62.925194
643,62.925194
644,63.3355757
645,64.0195452
646,64.9771025
647,65.9346598
648,66.7554232
649,67.7129805
650,68.6705378
651,69.3545073
652,69.9016829
653,70.7224463
654,71.4064158
655,71.8167975
656,71.2696219
657,70.5856524
658,69.9016829
659,69.764889
660,69.764889
661,69.9016829
662,70.3120646
663,70.7224463
664,71.132828
665,71.4064158
666,71.8167975
667,72.2271792
668,72.0903853
669,71.9535914
670,71.5432097
671,71.5432097
672,71.6800036
673,71.8167975
674,72.0903853
675,72.0903853
676,71.6800036
677,71.2696219
678,70.7224463
679,69.9016829
680,69.0809195
681,68.5337439
682,68.1233622
683,67.9865683
684,67.8497744
685,67.7129805
686,67.7129805
687,67.9865683
688,68.39695
689,68.6705378
690,69.2177134
691,69.9016829
692,70.5856524
693,70.9960341
694,71.132828
695,71.2696219
696,71.6800036
697,72.3639731
698,72.9111487
699,73.4583243
700,74.1422938
701,74.5526755
702,74.9630572
703,75.236645
704,75.9206145
705,76.4677901
706,76.7413779
707,77.0149657
708,77.1517596
709,77.2885535
710,77.5621413
711,77.8357291
712,77.972523
713,78.3829047
714,78.9300803
715,79.6140498
716,80.4348132
717,80.8451949
718,80.9819888
719,80.8451949
720,80.4348132
721,80.0244315
722,79.4772559
723,78.9300803
724,78.3829047
725,78.1093169
726,77.6989352
727,77.2885535
728,76.8781718
729,75.9206145
730,74.6894694
731,74.0054999
732,73.4583243
733,72.7743548
734,72.3639731
735,71.8167975
736,71.132828
737,70.1752707
738,69.0809195
739,67.7129805
740,66.3450415
741,65.1138964
742,64.0195452
743,62.3780184
744,60.4629038
745,58.1374075
746,53.6232088
747,49.1090101
748,44.5948114
749,40.0806127
750,36.6607652
751,33.5145055
752,29.4106885
753,26.6748105
754,23.8021386
755,20.6558789
756,16.9624436
757,13.2690083
758,9.575573
759,6.839695
760,4.5141987
761,2.735878
762,0.9575573
763,0
764,0
765,0
